hitter,hit_land_location,in_system_success,out_system_success,success rate
quick,2.0,0.7,0.0,0.6666666666666666
quick,3.0,0.48148148148148145,0.0,0.4642857142857143
quick,4.0,0.7,,0.7
quick,5.0,0.3333333333333333,,0.3333333333333333
quick,6.0,0.5806451612903226,0.0,0.5625
quick,7.0,0.5185185185185185,,0.5185185185185185
quick,8.0,0.625,0.5,0.6136363636363636
quick,9.0,0.4,,0.4
quick,10.0,0.48148148148148145,0.0,0.4642857142857143
quick,11.0,0.3125,,0.3125
quick,12.0,0.36363636363636365,0.0,0.3333333333333333
quick,13.0,0.25,0.5,0.2727272727272727
quick,14.0,0.42857142857142855,,0.42857142857142855
quick,15.0,0.2,0.0,0.16666666666666666
quick,16.0,1.0,,1.0
quick,17.0,0.6,,0.6
quick,18.0,0.3333333333333333,,0.3333333333333333
quick,19.0,0.3333333333333333,,0.3333333333333333
quick,20.0,0.0,0.0,0.0
quick,21.0,0.5,,0.5
quick,22.0,0.5714285714285714,,0.5714285714285714
quick,23.0,0.3333333333333333,,0.3333333333333333
quick,24.0,0.25,,0.25
quick,25.0,0.0,,0.0
quick,26.0,0.5,,0.5
