serve_type,serve_rows,ace,service_error,points_won,avg_rally_max_round,pct_serve_rows_round1,ace_rate,service_error_rate,server_point_win_rate
jump,1154,61,224,410,1.6204506065857887,0.9982668977469671,0.05285961871750433,0.19410745233968804,0.35528596187175043
float,269,6,19,90,1.654275092936803,1.0,0.022304832713754646,0.07063197026022305,0.3345724907063197
tape,40,2,0,18,1.85,1.0,0.05,0.0,0.45
hybrid,35,1,3,8,1.2285714285714286,1.0,0.02857142857142857,0.08571428571428572,0.22857142857142856
